Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ 06-26,Buy,2,29902.75,5/28/2026 7:03:54 AM,bcb59519bc424d99b4c2bba12729a8cd,Exit,-,0acfb605ad6645ec959b31b1898dcd82,Stop3,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,2,29902.75,5/28/2026 7:03:54 AM,169e34d4cf514262a99ba0dd9131d8b1,Exit,2 S,6b6f3a985de744b794ef80799793a7f5,Stop2,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,1,29903.00,5/28/2026 7:03:54 AM,91308fc5ad384661b5c175607c185ed0,Exit,4 S,1100baa660b44a5d9cf4c7bfee1955f6,Stop1,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,1,29902.75,5/28/2026 7:03:54 AM,56add92b4f6645e0bd9f156d2cfc0a88,Exit,5 S,1100baa660b44a5d9cf4c7bfee1955f6,Stop1,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,5,29877.50,5/28/2026 6:58:24 AM,0c2843d0dace430b97bf032470218e9e,Entry,6 S,8b4e320f22124d2c8443141e8d79c487,Entry,$4.25,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29877.75,5/28/2026 6:58:24 AM,fa0270d8b4aa4567b33aa5db82a01610,Entry,1 S,8b4e320f22124d2c8443141e8d79c487,Entry,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29951.25,5/28/2026 6:07:28 AM,3d73f80fce8a4b51845dbabfc6dadd65,Exit,-,9c147ffcae7a4318a1a983aceac5b1e8,Stop3,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29951.25,5/28/2026 6:07:28 AM,7564c6ca6fdd4a249829341ed29621f6,Exit,2 L,6c34cb84afba4c7081e54d1592bc11d7,Stop2,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29951.25,5/28/2026 6:07:28 AM,a3747049acff45dca2ce36c158820b9e,Exit,4 L,13c81b7f9d6c422fbb17c07b8cea0323,Stop1,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,2,29976.50,5/28/2026 5:50:50 AM,c5c726f17e5d49bc80fb60bdadfc41a5,Entry,6 L,865c4b5eb3594a7ba4da74fcd87a164e,Entry,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,4,29976.25,5/28/2026 5:50:50 AM,89617c2f115c432eab2070d816bcb62a,Entry,4 L,865c4b5eb3594a7ba4da74fcd87a164e,Entry,$3.40,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29964.75,5/28/2026 4:27:28 AM,30f32b4a05914bc9957d507248c269a0,Exit,-,bbd8018784ad4b3dbb75e74fd834a261,Stop3,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29964.75,5/28/2026 4:27:28 AM,e0cca443095f41f4b9fe98d270bd596e,Exit,2 L,f325bf672de2490680e0f657f8f6e4ab,Stop2,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29964.75,5/28/2026 4:27:28 AM,a7d282020de14ad7b4194af0b25d7fd0,Exit,4 L,473eaa8bbf8549dc9f6ed226addbdeb3,Stop1,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,4,29990.00,5/28/2026 4:22:54 AM,6d186f3c7c2e4402bc52c7faa4551b9f,Entry,6 L,c1008035996d4ef2a5051b89530ed1fe,Entry,$3.40,1,Sim101,Lucid,
MNQ 06-26,Buy,2,29989.75,5/28/2026 4:22:54 AM,abfa5fc1d7f546a2a1ce06893f18fa64,Entry,2 L,c1008035996d4ef2a5051b89530ed1fe,Entry,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29961.00,5/28/2026 4:00:10 AM,b49578d0484645fa8b4dc8c5898afa8c,Exit,-,2ba438fc20cc4ff4a1c2aa3f4a550440,Stop3,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29961.25,5/28/2026 4:00:10 AM,c1793876d5f34876a5687e2c3c162906,Exit,1 L,2ba438fc20cc4ff4a1c2aa3f4a550440,Stop3,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29961.25,5/28/2026 4:00:10 AM,10f259a3a9b2486b8122babb476b1cd7,Exit,2 L,7a1061b3fd264315bc2b5facb8efc41b,Stop2,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29965.00,5/28/2026 4:00:02 AM,524a882c59574f52b41110eb3a3fa67b,Exit,4 L,3bcfad17ed5c4000a414afb9be6f57ca,Target1,$0.85,1,Sim101,Lucid,
